571.8990 	INFO 	Scanner trigger received
572.8846 	INFO 	Scanner trigger received
573.9148 	INFO 	Scanner trigger received
574.9117 	INFO 	Scanner trigger received
575.9039 	INFO 	Scanner trigger received
576.9009 	INFO 	Scanner trigger received
577.8869 	INFO 	Scanner trigger received
578.9163 	INFO 	Scanner trigger received
579.8852 	INFO 	Scanner trigger received
580.9058 	INFO 	Scanner trigger received
581.8909 	INFO 	Scanner trigger received
582.8883 	INFO 	Scanner trigger received
583.8852 	INFO 	Scanner trigger received
584.8845 	INFO 	Scanner trigger received
585.8970 	INFO 	Scanner trigger received
586.8932 	INFO 	Scanner trigger received
587.8907 	INFO 	Scanner trigger received
588.8897 	INFO 	Scanner trigger received
589.8914 	INFO 	Scanner trigger received
590.8980 	INFO 	Scanner trigger received
591.8952 	INFO 	Scanner trigger received
592.8875 	INFO 	Scanner trigger received
593.8848 	INFO 	Scanner trigger received
594.9029 	INFO 	Scanner trigger received
595.9003 	INFO 	Scanner trigger received
596.8972 	INFO 	Scanner trigger received
597.8895 	INFO 	Scanner trigger received
598.9095 	INFO 	Scanner trigger received
599.9049 	INFO 	Scanner trigger received
600.9020 	INFO 	Scanner trigger received
601.8943 	INFO 	Scanner trigger received
602.9126 	INFO 	Scanner trigger received
603.9100 	INFO 	Scanner trigger received
604.9222 	INFO 	Scanner trigger received
605.8993 	INFO 	Scanner trigger received
606.8963 	INFO 	Scanner trigger received
607.9149 	INFO 	Scanner trigger received
608.9120 	INFO 	Scanner trigger received
